community_area,community_area_name,n_schools_5e,avg_leaders_score,avg_teachers_score,avg_families_score,avg_environment_score,avg_instruction_score,sr_total_requests,sr_total_closed,sr_avg_share_closed,sr_avg_median_ttc_hours,sr_avg_p75_ttc_hours,sr_avg_pct_closed_24h,sr_avg_pct_closed_7d,sr_avg_pct_closed_30d,cps_n_schools,cps_student_attendance,cps_teacher_attendance,cps_mobility_rate,cps_graduation_rate,cps_college_enrollment,acs_total_population,acs_poverty_rate,acs_median_household_income_weighted,acs_unemployment_rate,acs_pct_less_than_hs,acs_pct_bachelor_plus,acs_snap_rate,acs_public_assist_rate,acs_rent_burden_30p_rate,acs_rent_burden_50p_rate,acs_crowding_rate,acs_pct_renter,acs_vacancy_rate,acs_no_vehicle_rate,acs_pct_white_non_hispanic,acs_pct_black_non_hispanic,acs_pct_hispanic
21,AVONDALE,9,49.90740740740741,49.98148148148148,47.87037037037037,54.40740740740741,49.55555555555556,35916,35234,0.9802333333333334,61.261625,406.69666666666666,0.3615416666666666,0.6433416666666667,0.8226333333333334,84.80555555555556,92.8875,20.02083333333333,79.53333333333333,33.36666666666667,9,35533,0.1301,92274.0,0.06,0.1364,0.4729,0.1112,0.0329,0.3816,0.1669,0.0201,0.563,0.069,0.1799,0.379,0.0316,0.4968
22,LOGAN SQUARE,12,51.79166666666666,50.75,58.458333333333336,47.11111111111112,48.083333333333336,69962,68491,0.9834666666666668,374.6040444444444,619.6462666666666,0.4006166666666667,0.6544777777777777,0.7930944444444444,91.13055555555556,92.65454545454544,7.681818181818182,91.53333333333336,54.6,12,72375,0.1038,113414.0,0.0451,0.0711,0.6378,0.0844,0.032,0.3469,0.1419,0.0165,0.6106,0.0891,0.2187,0.5295,0.0572,0.3256
23,HUMBOLDT PARK,19,55.64912280701754,53.43859649122808,48.14035087719298,51.81578947368421,58.53508771929825,47270,46464,0.9827666666666668,297.4792533333333,764.44974,0.34694,0.5713533333333333,0.78778,84.07543859649122,90.03750000000001,21.37017543859649,80.11666666666666,42.71111111111111,19,56153,0.2638,58669.0,0.1038,0.2166,0.2443,0.3028,0.0447,0.5781,0.3892,0.0577,0.5927,0.0912,0.2651,0.1207,0.3015,0.5376
24,WEST TOWN,24,48.40579710144928,49.44927536231884,52.76811594202899,48.50694444444445,49.520833333333336,92196,90319,0.9645681818181818,128.83885454545455,915.5007045454546,0.4647727272727273,0.6884818181818182,0.8330409090909092,85.29861111111111,91.68111111111112,13.910144927536232,85.23809523809523,58.34814814814815,24,83491,0.0817,139516.0,0.038,0.0501,0.7524,0.0844,0.0234,0.3236,0.1403,0.0158,0.5844,0.0588,0.2096,0.6115,0.0583,0.2049
25,AUSTIN,22,50.34090909090909,48.84090909090909,45.142857142857146,45.87878787878788,54.37878787878788,91924,90541,0.98155,108.2927875,474.59341875,0.32801875,0.6013999999999999,0.8147125000000001,82.8439393939394,91.08854166666666,20.772727272727277,69.36666666666667,25.95,23,97452,0.2317,48833.0,0.1521,0.1714,0.1637,0.3805,0.0699,0.6193,0.3894,0.0517,0.572,0.0759,0.2975,0.0559,0.6902,0.2177
26,WEST GARFIELD PARK,7,55.095238095238095,54.59523809523809,47.02777777777778,57.80952380952381,64.66666666666667,21063,20776,0.9894111111111112,151.0740111111111,619.5066888888889,0.3087,0.522988888888889,0.7715444444444445,83.08333333333334,91.47333333333331,26.17142857142857,76.10000000000001,19.28333333333333,7,15096,0.3074,35734.0,0.1897,0.2226,0.105,0.4978,0.0576,0.6838,0.4625,0.039,0.6817,0.2003,0.3289,0.0117,0.8908,0.0833
27,EAST GARFIELD PARK,13,48.55555555555555,46.19444444444445,45.11111111111112,44.66666666666667,55.060606060606055,24101,23593,0.9858916666666668,133.33508333333333,591.3479833333333,0.3654083333333333,0.5854916666666666,0.80985,81.26410256410257,90.06333333333333,20.31538461538461,68.8,42.40833333333333,13,20731,0.3808,35859.0,0.1836,0.1572,0.2317,0.4662,0.0471,0.6977,0.4049,0.0726,0.6847,0.125,0.3752,0.0763,0.7902,0.106
28,NEAR WEST SIDE,20,51.1578947368421,48.28947368421053,53.333333333333336,48.97368421052632,55.9561403508772,1953395,1952179,0.9864473684210526,59.5730105263158,520.9832157894737,0.5759684210526316,0.7475842105263159,0.8357263157894737,82.685,91.01,8.247916666666667,69.31666666666666,62.225,20,68165,0.1616,108064.0,0.0613,0.0446,0.7176,0.1374,0.029,0.3834,0.1972,0.0301,0.6535,0.0661,0.3368,0.4192,0.2426,0.1157
29,NORTH LAWNDALE,18,46.32407407407408,47.351851851851855,44.23529411764706,45.72222222222222,55.7962962962963,37995,37221,0.9835230769230768,400.0030615384615,1071.4485846153848,0.3627923076923077,0.5604538461538462,0.7570076923076924,84.61018518518519,91.43194444444444,19.951851851851853,76.26666666666667,41.83333333333333,18,33958,0.3177,46475.0,0.1563,0.1662,0.1527,0.442,0.0754,0.611,0.3604,0.0605,0.7337,0.1798,0.3226,0.0423,0.7852,0.1503
30,SOUTH LAWNDALE,23,55.78260869565217,52.88405797101449,51.93478260869565,48.689393939393945,48.11363636363637,53353,52368,0.9856,175.91676842105264,630.9221578947369,0.4120578947368421,0.6517947368421053,0.8378,84.31521739130434,90.89761904761905,13.542424242424245,61.93333333333333,47.42083333333333,23,69884,0.2023,59624.0,0.0726,0.3536,0.1518,0.2268,0.0296,0.5039,0.2265,0.0923,0.5355,0.07,0.2223,0.0615,0.1187,0.8073
