community_area,year,ward,n_requests,n_closed,share_closed,n_open,share_open,median_ttc_hours,p75_ttc_hours,mean_ttc_hours,median_age_open_hours,p75_age_open_hours,pct_closed_24h,pct_closed_72h,pct_closed_7d,pct_closed_30d,small_n_requests,small_n_closed
6,2023,44.0,8869,8706,0.9816,163,0.0184,52.72,419.8176,751.6187,21432.0181,23573.6814,0.3599,0.5386,0.6393,0.8228,False,False
6,2023,46.0,3039,2998,0.9865,41,0.0135,32.1419,282.8883,766.7485,20699.6033,22926.6511,0.4485,0.5943,0.6881,0.849,False,False
6,2023,47.0,2879,2820,0.9795,59,0.0205,54.5831,252.3755,624.2249,21244.4467,23371.4393,0.2966,0.545,0.6857,0.867,False,False
6,2024,32.0,3871,3735,0.9649,136,0.0351,44.31,208.1325,618.182,14073.1312,15344.2079,0.3679,0.5769,0.7034,0.838,False,False
6,2024,43.0,6,6,1.0,0,0.0,126.3658,226.8491,161.4649,,,0.1667,0.3333,0.6667,1.0,True,True
6,2024,44.0,9967,9488,0.9519,479,0.0481,42.2913,197.6156,443.2485,14288.2989,15513.2918,0.393,0.5775,0.6937,0.8306,False,False
6,2024,46.0,3280,3136,0.9561,144,0.0439,27.6617,157.3373,454.8781,14736.0246,15398.7424,0.4384,0.6207,0.7293,0.8457,False,False
6,2024,47.0,3327,3205,0.9633,122,0.0367,47.2475,177.4303,476.2614,14712.4304,15646.6574,0.3496,0.5639,0.7109,0.8584,False,False
6,2025,32.0,4503,4178,0.9278,325,0.0722,45.9374,258.2187,342.8433,3852.8853,5385.9144,0.366,0.5332,0.6427,0.8119,False,False
6,2025,43.0,3,3,1.0,0,0.0,453.1217,1448.7043,1009.5145,,,0.0,0.0,0.3333,0.6667,True,True
6,2025,44.0,12388,11357,0.9168,1031,0.0832,24.4289,130.6061,227.5163,2887.8508,4648.3119,0.4554,0.6206,0.7111,0.8371,False,False
6,2025,46.0,2906,2668,0.9181,238,0.0819,42.4621,195.3342,310.2086,2988.3496,4521.6069,0.3851,0.5454,0.6707,0.8049,False,False
6,2025,47.0,3859,3630,0.9407,229,0.0593,45.6479,183.3814,279.4483,2964.4653,4883.9303,0.3724,0.5551,0.6966,0.8399,False,False
7,2021,1.0,338,338,1.0,0,0.0,22.2497,88.6517,142.3264,,,0.5266,0.7219,0.8639,0.9438,False,False
7,2021,2.0,1871,1832,0.9792,39,0.0208,68.9543,522.1419,1465.4307,39029.1311,40924.8028,0.3389,0.5024,0.6013,0.7696,False,False
7,2021,4.0,1,1,1.0,0,0.0,17006.9542,17006.9542,17006.9542,,,0.0,0.0,0.0,0.0,True,True
